t,m,ell,a1,a2,a3,b1,b2,b3,emb_m,emb_ell,aa,bb,p_phys,p_mask,no_test,no_success,p_log,d,k,adv
10,6,30,25,0,5,0,7,28,6,30,5,1,0.005,0.1666666666666666,10001,9624,0.9623037696230377,16,8,0.5102488622562745
10,6,30,25,0,5,1,11,22,6,30,2,0,0.005,0.2,10001,9566,0.9565043495650436,18,8,0.4575023193033377
10,6,30,25,0,5,1,11,22,6,30,2,1,0.005,0.1666666666666666,10001,9717,0.9716028397160285,18,8,0.511528889023408
10,6,30,25,0,5,1,11,22,6,30,2,3,0.005,0.2,10001,9608,0.9607039296070392,20,8,0.5009909009246659
10,6,30,25,0,5,1,11,22,6,30,3,0,0.005,0.2,10001,9572,0.9571042895710428,18,8,0.46739534488587225
10,6,30,25,0,5,1,11,22,6,30,3,1,0.005,0.1666666666666666,10001,9677,0.9676032396760323,18,8,0.5215000730946311
10,6,30,25,0,5,1,11,22,6,30,3,3,0.005,0.2,10001,9602,0.96010398960104,18,8,0.510227426051814
10,6,30,25,0,5,1,2,3,6,30,2,2,0.005,0.1666666666666666,10001,9637,0.9636036396360363,18,8,0.5115989498283814
10,6,30,25,0,5,1,2,3,6,30,3,2,0.005,0.1666666666666666,10001,9650,0.9649035096490352,18,8,0.5154144198233265
10,6,30,25,0,5,1,2,3,6,30,4,2,0.005,0.2,10001,9534,0.9533046695330468,18,8,0.4568878800216572
10,6,30,25,0,5,1,2,3,6,30,4,3,0.005,0.1666666666666666,10001,9618,0.9617038296170384,22,8,0.5115989498283807
10,6,30,25,0,5,1,2,3,6,30,5,2,0.005,0.2,10001,9518,0.9517048295170484,22,8,0.4606062536668589
10,6,30,25,0,5,1,2,3,6,30,5,3,0.005,0.1666666666666666,10001,9623,0.9622037796220378,18,8,0.5154144198233264
10,6,30,25,0,5,4,23,2,6,30,2,1,0.005,0.1666666666666666,10001,9565,0.9564043595640436,16,8,0.5316766375564592
10,6,30,25,0,5,4,23,2,6,30,3,1,0.005,0.1666666666666666,10001,9548,0.9547045295470452,16,8,0.531088684310092
10,6,30,25,0,5,5,13,26,6,30,2,0,0.005,0.2,10001,9572,0.9571042895710428,18,8,0.5102274260518141
10,6,30,25,0,5,5,13,26,6,30,2,2,0.005,0.1666666666666666,10001,9706,0.9705029497050296,18,8,0.5215000730946311
10,6,30,25,0,5,5,13,26,6,30,2,3,0.005,0.2,10001,9617,0.9616038396160383,20,8,0.4673953448858725
10,6,30,25,0,5,5,13,26,6,30,3,0,0.005,0.2,10001,9593,0.9592040795920408,18,8,0.500990900924666
10,6,30,25,0,5,5,13,26,6,30,3,2,0.005,0.1666666666666666,10001,9671,0.967003299670033,20,8,0.511528889023408
10,6,30,25,0,5,5,13,26,6,30,3,3,0.005,0.2,10001,9595,0.9594040595940406,18,8,0.45750231930333796
10,6,30,25,0,5,5,19,8,6,30,1,1,0.005,0.2333333333333333,10001,9453,0.9452054794520548,18,8,0.47738291288752766
10,6,30,25,0,5,5,19,8,6,30,2,0,0.005,0.2,10001,9566,0.9565043495650436,18,8,0.5102274260518139
10,6,30,25,0,5,5,19,8,6,30,2,2,0.005,0.1666666666666666,10001,9692,0.9691030896910308,20,8,0.5215000730946313
10,6,30,25,0,5,5,19,8,6,30,2,3,0.005,0.2,10001,9576,0.9575042495750424,18,8,0.46739534488587214
